TIME,Kotel [imp],Boiler [imp],Rack [imp],Kotel [KWh],Boiler [KWh],Rack [KWh],DATE
10/13/2017 18:01:28,30223,6266,4372,528.42,196.28,205.17,10/13/2017
10/13/2017 18:11:28,30344,6266,4383,528.57,196.28,205.18,10/13/2017
10/13/2017 18:21:28,30531,6266,4393,528.80,196.28,205.19,10/13/2017
10/13/2017 18:31:28,30652,6266,4403,528.96,196.28,205.20,10/13/2017
10/13/2017 18:41:28,30659,6266,4414,528.96,196.28,205.21,10/13/2017
10/13/2017 18:51:28,30661,6266,4424,528.97,196.28,205.22,10/13/2017
10/13/2017 19:01:28,30662,6266,4436,528.97,196.28,205.24,10/13/2017
10/13/2017 19:11:28,30662,6266,4448,528.97,196.28,205.25,10/13/2017
10/13/2017 19:21:28,30663,6266,4459,528.97,196.28,205.26,10/13/2017
10/13/2017 19:31:28,30664,6266,4469,528.97,196.28,205.27,10/13/2017
10/13/2017 19:41:28,30974,6266,4479,529.36,196.28,205.28,10/13/2017
10/13/2017 19:51:28,31186,6266,4490,529.62,196.28,205.29,10/13/2017
10/13/2017 20:01:28,31377,6266,4500,529.86,196.28,205.30,10/13/2017
10/13/2017 20:11:28,31505,6266,4510,530.02,196.28,205.31,10/13/2017
10/13/2017 20:21:29,31638,6266,4521,530.19,196.28,205.32,10/13/2017
10/13/2017 20:31:28,31803,6266,4531,530.39,196.28,205.33,10/13/2017
10/13/2017 20:41:28,31956,6266,4542,530.59,196.28,205.34,10/13/2017
10/13/2017 20:51:28,32080,6266,4552,530.74,196.28,205.35,10/13/2017
10/13/2017 21:01:28,32213,6266,4563,530.91,196.28,205.36,10/13/2017
10/13/2017 21:11:28,32334,6266,4573,531.06,196.28,205.37,10/13/2017
10/13/2017 21:21:28,32437,6266,4583,531.19,196.28,205.38,10/13/2017
10/13/2017 21:31:28,32601,6266,4595,531.39,196.28,205.40,10/13/2017
10/13/2017 21:41:29,32772,6266,4606,531.61,196.28,205.41,10/13/2017
10/13/2017 21:51:28,32891,6266,4618,531.75,196.28,205.42,10/13/2017
10/13/2017 22:01:28,33007,6266,4628,531.90,196.28,205.43,10/13/2017
10/13/2017 22:11:28,33152,6266,4638,532.08,196.28,205.44,10/13/2017
10/13/2017 22:21:28,33306,6266,4649,532.27,196.28,205.45,10/13/2017
10/13/2017 22:31:28,33395,6266,4659,532.38,196.28,205.46,10/13/2017
10/13/2017 22:41:28,33515,6266,4670,532.53,196.28,205.47,10/13/2017
10/13/2017 22:51:28,33665,6266,4680,532.72,196.28,205.48,10/13/2017
10/13/2017 23:01:28,33773,6266,4692,532.86,196.28,205.49,10/13/2017
10/13/2017 23:11:28,33878,6266,4703,532.99,196.28,205.50,10/13/2017
10/13/2017 23:21:28,33973,6266,4715,533.11,196.28,205.52,10/13/2017
10/13/2017 23:31:28,34142,6484,4727,533.32,196.49,205.53,10/13/2017
10/13/2017 23:41:28,34274,6615,4738,533.48,196.63,205.54,10/13/2017
10/13/2017 23:51:28,34392,6615,4748,533.63,196.63,205.55,10/13/2017
10/14/2017 0:01:28,34524,6615,4759,533.80,196.63,205.56,10/14/2017
10/14/2017 0:11:28,34682,6615,4769,533.99,196.63,205.57,10/14/2017
10/14/2017 0:21:29,34844,6804,4779,534.20,196.81,205.58,10/14/2017
10/14/2017 0:31:28,34933,6804,4791,534.31,196.81,205.59,10/14/2017
10/14/2017 0:41:28,35062,6804,4802,534.47,196.81,205.60,10/14/2017
10/14/2017 0:51:28,35162,6804,4814,534.59,196.81,205.61,10/14/2017
10/14/2017 1:01:29,35260,6804,4826,534.72,196.81,205.63,10/14/2017
10/14/2017 1:11:28,35367,6806,4837,534.85,196.82,205.64,10/14/2017
10/14/2017 1:21:28,35446,6806,4848,534.95,196.82,205.65,10/14/2017
10/14/2017 1:31:28,35454,6806,4860,534.96,196.82,205.66,10/14/2017
10/14/2017 1:41:28,35498,6806,4872,535.01,196.82,205.67,10/14/2017
10/14/2017 1:51:28,35538,6806,4883,535.06,196.82,205.68,10/14/2017
10/14/2017 2:01:28,35546,6806,4895,535.07,196.82,205.70,10/14/2017
10/14/2017 2:11:28,35554,6806,4906,535.08,196.82,205.71,10/14/2017
10/14/2017 2:21:28,35562,6806,4917,535.09,196.82,205.72,10/14/2017
10/14/2017 2:31:28,35596,6806,4928,535.14,196.82,205.73,10/14/2017
10/14/2017 2:41:28,35604,6806,4940,535.15,196.82,205.74,10/14/2017
10/14/2017 2:51:28,35612,6806,4951,535.16,196.82,205.75,10/14/2017
10/14/2017 3:01:28,35621,6806,4961,535.17,196.82,205.76,10/14/2017
10/14/2017 3:11:28,35629,6806,4972,535.18,196.82,205.77,10/14/2017
10/14/2017 3:21:29,35637,6806,4982,535.19,196.82,205.78,10/14/2017
10/14/2017 3:31:28,35645,6806,4992,535.20,196.82,205.79,10/14/2017
10/14/2017 3:41:28,35653,6806,5003,535.21,196.82,205.80,10/14/2017
10/14/2017 3:51:28,35678,6806,5013,535.24,196.82,205.81,10/14/2017
10/14/2017 4:01:28,35703,6806,5023,535.27,196.82,205.82,10/14/2017
10/14/2017 4:11:28,35735,6806,5034,535.31,196.82,205.83,10/14/2017
10/14/2017 4:21:28,35743,6806,5044,535.32,196.82,205.84,10/14/2017
10/14/2017 4:31:28,35752,6806,5055,535.33,196.82,205.86,10/14/2017
10/14/2017 4:41:28,35760,6806,5067,535.34,196.82,205.87,10/14/2017
10/14/2017 4:51:28,35768,6806,5078,535.35,196.82,205.88,10/14/2017
10/14/2017 5:01:28,35800,6806,5089,535.39,196.82,205.89,10/14/2017
10/14/2017 5:11:29,35808,6806,5099,535.40,196.82,205.90,10/14/2017
10/14/2017 5:21:28,35816,6806,5110,535.41,196.82,205.91,10/14/2017
10/14/2017 5:31:28,35845,6806,5120,535.45,196.82,205.92,10/14/2017
10/14/2017 5:41:29,35867,6806,5132,535.47,196.82,205.93,10/14/2017
10/14/2017 5:51:28,35875,6806,5143,535.48,196.82,205.94,10/14/2017
10/14/2017 6:01:28,35915,6806,5155,535.53,196.82,205.96,10/14/2017
10/14/2017 6:11:29,35923,6806,5167,535.54,196.82,205.97,10/14/2017
10/14/2017 6:21:29,35964,6806,5178,535.60,196.82,205.98,10/14/2017
10/14/2017 6:31:28,35972,6806,5189,535.61,196.82,205.99,10/14/2017
10/14/2017 6:41:28,35980,6806,5199,535.62,196.82,206.00,10/14/2017
10/14/2017 6:51:29,36021,6806,5210,535.67,196.82,206.01,10/14/2017
10/14/2017 7:01:28,36076,6806,5220,535.74,196.82,206.02,10/14/2017
10/14/2017 7:11:28,36114,6806,5230,535.78,196.82,206.03,10/14/2017
10/14/2017 7:21:29,36154,6806,5241,535.83,196.82,206.04,10/14/2017
10/14/2017 7:31:28,36193,6806,5252,535.88,196.82,206.05,10/14/2017
10/14/2017 7:41:28,36201,6806,5264,535.89,196.82,206.06,10/14/2017
10/14/2017 7:51:29,36202,6806,5275,535.89,196.82,206.08,10/14/2017
10/14/2017 8:01:29,36203,6806,5285,535.89,196.82,206.09,10/14/2017
10/14/2017 8:11:28,36204,6806,5296,535.90,196.82,206.10,10/14/2017
10/14/2017 8:21:28,36204,6806,5306,535.90,196.82,206.11,10/14/2017
10/14/2017 8:31:29,36205,6806,5316,535.90,196.82,206.12,10/14/2017
10/14/2017 8:41:29,36251,6806,5327,535.95,196.82,206.13,10/14/2017
10/14/2017 8:51:29,36322,6806,5338,536.04,196.82,206.14,10/14/2017
10/14/2017 9:01:29,36338,6806,5350,536.06,196.82,206.15,10/14/2017
10/14/2017 9:11:29,36346,6806,5361,536.07,196.82,206.16,10/14/2017
10/14/2017 9:21:29,36354,6806,5373,536.08,196.82,206.17,10/14/2017
10/14/2017 9:31:28,36362,6806,5383,536.09,196.82,206.18,10/14/2017
10/14/2017 9:41:29,36370,6806,5394,536.10,196.82,206.19,10/14/2017
10/14/2017 9:51:29,36378,6806,5404,536.11,196.82,206.20,10/14/2017
10/14/2017 10:01:28,36385,6806,5414,536.12,196.82,206.21,10/14/2017
10/14/2017 10:11:29,36392,6806,5426,536.13,196.82,206.23,10/14/2017
10/14/2017 10:21:29,36399,6806,5438,536.14,196.82,206.24,10/14/2017
10/14/2017 10:31:28,36405,6806,5448,536.15,196.82,206.25,10/14/2017
10/14/2017 10:41:29,36412,6806,5459,536.16,196.82,206.26,10/14/2017
10/14/2017 10:51:29,36418,6806,5469,536.16,196.82,206.27,10/14/2017
10/14/2017 11:01:29,36425,6806,5479,536.17,196.82,206.28,10/14/2017
10/14/2017 11:11:29,36431,6806,5490,536.18,196.82,206.29,10/14/2017
10/14/2017 11:21:29,36438,6806,5501,536.19,196.82,206.30,10/14/2017
10/14/2017 11:31:28,36445,6806,5513,536.20,196.82,206.31,10/14/2017
10/14/2017 11:41:28,36452,6806,5524,536.21,196.82,206.32,10/14/2017
10/14/2017 11:51:29,36459,6806,5534,536.21,196.82,206.33,10/14/2017
10/14/2017 12:01:28,36466,6806,5545,536.22,196.82,206.35,10/14/2017
10/14/2017 12:11:29,36473,6806,5556,536.23,196.82,206.36,10/14/2017
10/14/2017 12:21:29,36481,6806,5568,536.24,196.82,206.37,10/14/2017
10/14/2017 12:31:29,36488,6806,5579,536.25,196.82,206.38,10/14/2017
10/14/2017 12:41:29,36495,6806,5589,536.26,196.82,206.39,10/14/2017
10/14/2017 12:51:29,36502,6806,5599,536.27,196.82,206.40,10/14/2017
10/14/2017 13:01:28,36509,6806,5610,536.28,196.82,206.41,10/14/2017
10/14/2017 13:11:29,36516,6806,5620,536.29,196.82,206.42,10/14/2017
10/14/2017 13:21:29,36523,6806,5630,536.29,196.82,206.43,10/14/2017
10/14/2017 13:31:29,36529,6806,5641,536.30,196.82,206.44,10/14/2017
10/14/2017 13:41:29,36536,6806,5651,536.31,196.82,206.45,10/14/2017
10/14/2017 13:51:29,36542,6806,5661,536.32,196.82,206.46,10/14/2017
10/14/2017 14:01:29,36548,6806,5672,536.33,196.82,206.47,10/14/2017
10/14/2017 14:11:29,36555,6806,5682,536.33,196.82,206.48,10/14/2017
10/14/2017 14:21:29,36561,6806,5693,536.34,196.82,206.49,10/14/2017
10/14/2017 14:31:29,36569,6806,5705,536.35,196.82,206.51,10/14/2017
10/14/2017 14:41:29,36576,6806,5716,536.36,196.82,206.52,10/14/2017
10/14/2017 14:51:29,36583,6806,5727,536.37,196.82,206.53,10/14/2017
10/14/2017 15:01:29,36590,6806,5737,536.38,196.82,206.54,10/14/2017
10/14/2017 15:11:29,36597,6810,5747,536.39,196.82,206.55,10/14/2017
10/14/2017 15:21:29,36604,7123,5758,536.40,197.13,206.56,10/14/2017
10/14/2017 15:31:29,36611,7123,5768,536.40,197.13,206.57,10/14/2017
10/14/2017 15:41:29,36618,7123,5779,536.41,197.13,206.58,10/14/2017
10/14/2017 15:51:29,36625,7123,5789,536.42,197.13,206.59,10/14/2017
10/14/2017 16:01:29,36632,7123,5799,536.43,197.13,206.60,10/14/2017
10/14/2017 16:11:29,36639,7123,5810,536.44,197.13,206.61,10/14/2017
10/14/2017 16:21:29,36647,7123,5820,536.45,197.13,206.62,10/14/2017
10/14/2017 16:31:29,36654,7123,5830,536.46,197.13,206.63,10/14/2017
10/14/2017 16:41:29,36661,7242,5841,536.47,197.25,206.64,10/14/2017
10/14/2017 16:51:29,36668,7329,5851,536.48,197.34,206.65,10/14/2017
10/14/2017 17:01:29,36675,7329,5862,536.48,197.34,206.66,10/14/2017
10/14/2017 17:11:29,36683,7329,5873,536.49,197.34,206.67,10/14/2017
10/14/2017 17:21:29,36692,7329,5885,536.51,197.34,206.69,10/14/2017
10/14/2017 17:31:29,36700,7329,5897,536.52,197.34,206.70,10/14/2017
10/14/2017 17:41:29,36707,7329,5909,536.52,197.34,206.71,10/14/2017
10/14/2017 17:51:29,36715,7329,5921,536.53,197.34,206.72,10/14/2017
10/14/2017 18:01:29,36722,7329,5932,536.54,197.34,206.73,10/14/2017
10/14/2017 18:11:29,36730,7329,5944,536.55,197.34,206.74,10/14/2017
10/14/2017 18:21:29,36737,7329,5956,536.56,197.34,206.76,10/14/2017
10/14/2017 18:31:29,36744,7329,5968,536.57,197.34,206.77,10/14/2017
10/14/2017 18:41:29,36883,7329,5979,536.74,197.34,206.78,10/14/2017
10/14/2017 18:51:29,37147,7329,5991,537.07,197.34,206.79,10/14/2017
10/14/2017 19:01:29,37232,7329,6003,537.18,197.34,206.80,10/14/2017
10/14/2017 19:11:29,37327,7329,6014,537.30,197.34,206.81,10/14/2017
10/14/2017 19:21:29,37423,7329,6026,537.42,197.34,206.83,10/14/2017
10/14/2017 19:31:29,37511,7329,6037,537.53,197.34,206.84,10/14/2017
10/14/2017 19:41:29,37610,7329,6047,537.65,197.34,206.85,10/14/2017
10/14/2017 19:51:29,37702,7329,6058,537.77,197.34,206.86,10/14/2017
10/14/2017 20:01:29,37709,7329,6068,537.78,197.34,206.87,10/14/2017
10/14/2017 20:11:29,37716,7329,6078,537.79,197.34,206.88,10/14/2017
10/14/2017 20:21:29,37723,7329,6089,537.79,197.34,206.89,10/14/2017
10/14/2017 20:31:29,37730,7329,6101,537.80,197.34,206.90,10/14/2017
10/14/2017 20:41:29,37738,7329,6113,537.81,197.34,206.91,10/14/2017
10/14/2017 20:51:29,37745,7329,6125,537.82,197.34,206.93,10/14/2017
10/14/2017 21:01:29,37752,7329,6137,537.83,197.34,206.94,10/14/2017
10/14/2017 21:11:29,37759,7329,6148,537.84,197.34,206.95,10/14/2017
10/14/2017 21:21:29,37766,7329,6160,537.85,197.34,206.96,10/14/2017
10/14/2017 21:31:30,37773,7329,6172,537.86,197.34,206.97,10/14/2017
10/14/2017 21:41:29,37780,7329,6183,537.87,197.34,206.98,10/14/2017
10/14/2017 21:51:29,37787,7329,6195,537.87,197.34,207.00,10/14/2017
10/14/2017 22:01:29,37795,7329,6207,537.88,197.34,207.01,10/14/2017
10/14/2017 22:11:29,37802,7329,6219,537.89,197.34,207.02,10/14/2017
10/14/2017 22:21:29,37809,7329,6230,537.90,197.34,207.03,10/14/2017
10/14/2017 22:31:30,37816,7329,6242,537.91,197.34,207.04,10/14/2017
10/14/2017 22:41:29,37823,7329,6252,537.92,197.34,207.05,10/14/2017
10/14/2017 22:51:29,37830,7504,6263,537.93,197.51,207.06,10/14/2017
10/14/2017 23:01:29,37837,7739,6273,537.94,197.75,207.07,10/14/2017
10/14/2017 23:11:29,37844,7739,6284,537.95,197.75,207.08,10/14/2017
10/14/2017 23:21:30,37851,7767,6294,537.95,197.78,207.09,10/14/2017
10/14/2017 23:31:29,37859,7926,6304,537.96,197.94,207.10,10/14/2017
10/14/2017 23:41:29,37866,7926,6315,537.97,197.94,207.12,10/14/2017
10/14/2017 23:51:29,37873,7926,6325,537.98,197.94,207.13,10/14/2017
10/15/2017 0:01:29,37880,7926,6336,537.99,197.94,207.14,10/15/2017
10/15/2017 0:11:29,37887,7926,6346,538.00,197.94,207.15,10/15/2017
10/15/2017 0:21:30,37894,8099,6356,538.01,198.11,207.16,10/15/2017
10/15/2017 0:31:29,37901,8099,6368,538.02,198.11,207.17,10/15/2017
10/15/2017 0:41:29,37908,8099,6379,538.03,198.11,207.18,10/15/2017
10/15/2017 0:51:29,37915,8099,6391,538.03,198.11,207.19,10/15/2017
10/15/2017 1:01:30,37923,8099,6403,538.04,198.11,207.20,10/15/2017
10/15/2017 1:11:29,37930,8099,6415,538.05,198.11,207.22,10/15/2017
10/15/2017 1:21:29,37937,8099,6425,538.06,198.11,207.23,10/15/2017
10/15/2017 1:31:30,37944,8202,6437,538.07,198.21,207.24,10/15/2017
10/15/2017 1:41:29,37951,8277,6449,538.08,198.29,207.25,10/15/2017
10/15/2017 1:51:29,37958,8277,6460,538.09,198.29,207.26,10/15/2017
10/15/2017 2:01:29,37965,8277,6472,538.10,198.29,207.27,10/15/2017
10/15/2017 2:11:30,37972,8277,6484,538.11,198.29,207.28,10/15/2017
10/15/2017 2:21:29,37979,8277,6495,538.11,198.29,207.30,10/15/2017
10/15/2017 2:31:29,37987,8277,6507,538.12,198.29,207.31,10/15/2017
10/15/2017 2:41:30,37994,8277,6519,538.13,198.29,207.32,10/15/2017
10/15/2017 2:51:29,38001,8277,6530,538.14,198.29,207.33,10/15/2017
10/15/2017 3:01:29,38008,8277,6542,538.15,198.29,207.34,10/15/2017
10/15/2017 3:11:30,38015,8277,6553,538.16,198.29,207.35,10/15/2017
10/15/2017 3:21:29,38022,8460,6563,538.17,198.47,207.36,10/15/2017
10/15/2017 3:31:29,38029,8460,6574,538.18,198.47,207.37,10/15/2017
10/15/2017 3:41:29,38036,8460,6584,538.19,198.47,207.38,10/15/2017
10/15/2017 3:51:29,38043,8460,6595,538.19,198.47,207.40,10/15/2017
10/15/2017 4:01:29,38051,8460,6605,538.20,198.47,207.41,10/15/2017
10/15/2017 4:11:29,38058,8460,6615,538.21,198.47,207.42,10/15/2017
10/15/2017 4:21:30,38065,8460,6626,538.22,198.47,207.43,10/15/2017
10/15/2017 4:31:29,38072,8460,6636,538.23,198.47,207.44,10/15/2017
10/15/2017 4:41:30,38079,8460,6648,538.24,198.47,207.45,10/15/2017
10/15/2017 4:51:29,38086,8460,6659,538.25,198.47,207.46,10/15/2017
10/15/2017 5:01:29,38093,8460,6670,538.26,198.47,207.47,10/15/2017
10/15/2017 5:11:30,38101,8460,6681,538.27,198.47,207.48,10/15/2017
10/15/2017 5:21:30,38109,8460,6691,538.28,198.47,207.49,10/15/2017
10/15/2017 5:31:29,38118,8460,6701,538.29,198.47,207.50,10/15/2017
10/15/2017 5:41:30,38126,8460,6712,538.30,198.47,207.51,10/15/2017
10/15/2017 5:51:30,38134,8460,6724,538.31,198.47,207.52,10/15/2017
10/15/2017 6:01:30,38142,8460,6736,538.32,198.47,207.54,10/15/2017
10/15/2017 6:11:30,38150,8460,6746,538.33,198.47,207.55,10/15/2017
10/15/2017 6:21:30,38158,8460,6756,538.34,198.47,207.56,10/15/2017
10/15/2017 6:31:30,38167,8460,6767,538.35,198.47,207.57,10/15/2017
10/15/2017 6:41:30,38175,8460,6777,538.36,198.47,207.58,10/15/2017
10/15/2017 6:51:30,38183,8460,6787,538.37,198.47,207.59,10/15/2017
10/15/2017 7:01:30,38191,8460,6798,538.38,198.47,207.60,10/15/2017
10/15/2017 7:11:30,38199,8460,6808,538.39,198.47,207.61,10/15/2017
10/15/2017 7:21:30,38207,8460,6819,538.40,198.47,207.62,10/15/2017
10/15/2017 7:31:30,38216,8460,6830,538.41,198.47,207.63,10/15/2017
10/15/2017 7:41:29,38223,8460,6842,538.42,198.47,207.64,10/15/2017
10/15/2017 7:51:30,38231,8460,6853,538.43,198.47,207.65,10/15/2017
10/15/2017 8:01:30,38238,8460,6863,538.44,198.47,207.66,10/15/2017
10/15/2017 8:11:30,38245,8460,6873,538.45,198.47,207.67,10/15/2017
10/15/2017 8:21:30,38252,8460,6884,538.46,198.47,207.68,10/15/2017
10/15/2017 8:31:29,38258,8460,6894,538.46,198.47,207.69,10/15/2017
10/15/2017 8:41:30,38265,8460,6904,538.47,198.47,207.70,10/15/2017
10/15/2017 8:51:30,38273,8460,6916,538.48,198.47,207.72,10/15/2017
10/15/2017 9:01:30,38280,8460,6927,538.49,198.47,207.73,10/15/2017
10/15/2017 9:11:30,38287,8460,6939,538.50,198.47,207.74,10/15/2017
10/15/2017 9:21:30,38294,8460,6951,538.51,198.47,207.75,10/15/2017
10/15/2017 9:31:30,38301,8460,6962,538.52,198.47,207.76,10/15/2017
10/15/2017 9:41:30,38308,8460,6972,538.53,198.47,207.77,10/15/2017
10/15/2017 9:51:30,38315,8460,6982,538.53,198.47,207.78,10/15/2017
10/15/2017 10:01:30,38323,8460,6993,538.54,198.47,207.79,10/15/2017
10/15/2017 10:11:30,38330,8460,7005,538.55,198.47,207.81,10/15/2017
10/15/2017 10:21:30,38336,8460,7017,538.56,198.47,207.82,10/15/2017
10/15/2017 10:31:30,38343,8460,7028,538.57,198.47,207.83,10/15/2017
10/15/2017 10:41:30,38349,8460,7040,538.58,198.47,207.84,10/15/2017
10/15/2017 10:51:30,38356,8460,7050,538.59,198.47,207.85,10/15/2017
10/15/2017 11:01:30,38362,8460,7060,538.59,198.47,207.86,10/15/2017
10/15/2017 11:11:30,38368,8460,7071,538.60,198.47,207.87,10/15/2017
10/15/2017 11:21:30,38375,8460,7082,538.61,198.47,207.88,10/15/2017
10/15/2017 11:31:30,38382,8460,7094,538.62,198.47,207.89,10/15/2017
10/15/2017 11:41:30,38389,8460,7105,538.63,198.47,207.91,10/15/2017
10/15/2017 11:51:30,38397,8460,7115,538.64,198.47,207.92,10/15/2017
10/15/2017 12:01:30,38404,8460,7126,538.65,198.47,207.93,10/15/2017
10/15/2017 12:11:30,38411,8460,7137,538.65,198.47,207.94,10/15/2017
10/15/2017 12:21:30,38418,8460,7149,538.66,198.47,207.95,10/15/2017
10/15/2017 12:31:30,38425,8460,7160,538.67,198.47,207.96,10/15/2017
10/15/2017 12:41:30,38432,8460,7172,538.68,198.47,207.97,10/15/2017
10/15/2017 12:51:30,38439,8460,7182,538.69,198.47,207.98,10/15/2017
10/15/2017 13:01:30,38446,8460,7193,538.70,198.47,207.99,10/15/2017
10/15/2017 13:11:30,38453,8460,7203,538.71,198.47,208.00,10/15/2017
10/15/2017 13:21:30,38460,8460,7213,538.72,198.47,208.01,10/15/2017
10/15/2017 13:31:30,38466,8460,7224,538.72,198.47,208.02,10/15/2017
10/15/2017 13:41:30,38473,8460,7234,538.73,198.47,208.03,10/15/2017
10/15/2017 13:51:30,38479,8460,7245,538.74,198.47,208.05,10/15/2017
10/15/2017 14:01:30,38485,8460,7255,538.75,198.47,208.06,10/15/2017
10/15/2017 14:11:31,38492,8460,7265,538.76,198.47,208.07,10/15/2017
10/15/2017 14:21:30,38498,8460,7276,538.76,198.47,208.08,10/15/2017
10/15/2017 14:31:30,38506,8460,7288,538.77,198.47,208.09,10/15/2017
10/15/2017 14:41:30,38513,8460,7300,538.78,198.47,208.10,10/15/2017
10/15/2017 14:51:30,38520,8460,7310,538.79,198.47,208.11,10/15/2017
10/15/2017 15:01:30,38527,8460,7320,538.80,198.47,208.12,10/15/2017
10/15/2017 15:11:30,38534,8460,7331,538.81,198.47,208.13,10/15/2017
10/15/2017 15:21:30,38541,8460,7341,538.82,198.47,208.14,10/15/2017
10/15/2017 15:31:30,38548,8460,7352,538.83,198.47,208.15,10/15/2017
10/15/2017 15:41:30,38555,8460,7362,538.83,198.47,208.16,10/15/2017
10/15/2017 15:51:30,38562,8460,7372,538.84,198.47,208.17,10/15/2017
10/15/2017 16:01:30,38569,8460,7383,538.85,198.47,208.18,10/15/2017
10/15/2017 16:11:30,38576,8460,7393,538.86,198.47,208.19,10/15/2017
10/15/2017 16:21:30,38583,8460,7404,538.87,198.47,208.20,10/15/2017
10/15/2017 16:31:30,38590,8460,7414,538.88,198.47,208.21,10/15/2017
10/15/2017 16:41:30,38597,8460,7424,538.89,198.47,208.22,10/15/2017
10/15/2017 16:51:30,38604,8460,7435,538.90,198.47,208.24,10/15/2017
10/15/2017 17:01:30,38612,8460,7445,538.91,198.47,208.25,10/15/2017
10/15/2017 17:11:30,38619,8460,7456,538.91,198.47,208.26,10/15/2017
10/15/2017 17:21:30,38626,8460,7466,538.92,198.47,208.27,10/15/2017
10/15/2017 17:31:30,38633,8460,7476,538.93,198.47,208.28,10/15/2017
10/15/2017 17:41:30,38639,8460,7488,538.94,198.47,208.29,10/15/2017
10/15/2017 17:51:30,38646,8460,7499,538.95,198.47,208.30,10/15/2017
10/15/2017 18:01:30,38652,8460,7511,538.96,198.47,208.31,10/15/2017
10/15/2017 18:11:30,38658,8460,7523,538.96,198.47,208.32,10/15/2017
10/15/2017 18:21:30,38665,8460,7534,538.97,198.47,208.33,10/15/2017
10/15/2017 18:31:30,38671,8460,7545,538.98,198.47,208.35,10/15/2017
10/15/2017 18:41:30,38678,8460,7557,538.99,198.47,208.36,10/15/2017
10/15/2017 18:51:30,38685,8460,7567,539.00,198.47,208.37,10/15/2017
10/15/2017 19:01:30,38692,8460,7578,539.01,198.47,208.38,10/15/2017
10/15/2017 19:11:30,38699,8460,7588,539.01,198.47,208.39,10/15/2017
10/15/2017 19:21:30,38706,8460,7599,539.02,198.47,208.40,10/15/2017
10/15/2017 19:31:30,38713,8460,7610,539.03,198.47,208.41,10/15/2017
10/15/2017 19:41:30,38720,8460,7622,539.04,198.47,208.42,10/15/2017
10/15/2017 19:51:30,38727,8460,7633,539.05,198.47,208.43,10/15/2017
10/15/2017 20:01:30,38734,8460,7643,539.06,198.47,208.44,10/15/2017
10/15/2017 20:11:30,38741,8460,7654,539.07,198.47,208.45,10/15/2017
10/15/2017 20:21:31,38748,8460,7664,539.08,198.47,208.46,10/15/2017
10/15/2017 20:31:31,38755,8460,7674,539.08,198.47,208.47,10/15/2017
10/15/2017 20:41:30,38762,8460,7685,539.09,198.47,208.49,10/15/2017
10/15/2017 20:51:31,38770,8460,7695,539.10,198.47,208.50,10/15/2017
10/15/2017 21:01:30,38777,8460,7705,539.11,198.47,208.51,10/15/2017
10/15/2017 21:11:30,38784,8460,7716,539.12,198.47,208.52,10/15/2017
10/15/2017 21:21:30,38791,8460,7726,539.13,198.47,208.53,10/15/2017
10/15/2017 21:31:31,38798,8460,7737,539.14,198.47,208.54,10/15/2017
10/15/2017 21:41:30,38805,8460,7749,539.15,198.47,208.55,10/15/2017
10/15/2017 21:51:30,38812,8460,7760,539.16,198.47,208.56,10/15/2017
10/15/2017 22:01:30,38819,8460,7770,539.16,198.47,208.57,10/15/2017
10/15/2017 22:11:30,38826,8460,7781,539.17,198.47,208.58,10/15/2017
10/15/2017 22:21:30,38833,8460,7791,539.18,198.47,208.59,10/15/2017
10/15/2017 22:31:30,38840,8460,7802,539.19,198.47,208.60,10/15/2017
10/15/2017 22:41:31,38847,8460,7812,539.20,198.47,208.61,10/15/2017
10/15/2017 22:51:30,38854,8460,7822,539.21,198.47,208.62,10/15/2017
10/15/2017 23:01:30,38861,8460,7833,539.22,198.47,208.63,10/15/2017
10/15/2017 23:11:30,38868,8460,7843,539.23,198.47,208.64,10/15/2017
10/15/2017 23:21:31,38875,8460,7853,539.23,198.47,208.65,10/15/2017
10/15/2017 23:31:30,38882,8460,7864,539.24,198.47,208.66,10/15/2017
10/15/2017 23:41:30,38889,8460,7874,539.25,198.47,208.67,10/15/2017
10/15/2017 23:51:31,38896,8460,7884,539.26,198.47,208.68,10/15/2017
10/16/2017 0:01:31,38903,8460,7895,539.27,198.47,208.70,10/16/2017
10/16/2017 0:11:30,38910,8460,7905,539.28,198.47,208.71,10/16/2017
10/16/2017 0:21:30,38917,8460,7916,539.29,198.47,208.72,10/16/2017
10/16/2017 0:31:31,38925,8460,7927,539.30,198.47,208.73,10/16/2017
10/16/2017 0:41:30,38932,8460,7939,539.31,198.47,208.74,10/16/2017
10/16/2017 0:51:31,38939,8460,7951,539.31,198.47,208.75,10/16/2017
10/16/2017 1:01:30,38946,8460,7962,539.32,198.47,208.76,10/16/2017
10/16/2017 1:11:31,38953,8460,7974,539.33,198.47,208.77,10/16/2017
10/16/2017 1:21:31,38960,8460,7986,539.34,198.47,208.79,10/16/2017
10/16/2017 1:31:31,38967,8460,7998,539.35,198.47,208.80,10/16/2017
10/16/2017 1:41:30,38974,8460,8009,539.36,198.47,208.81,10/16/2017
10/16/2017 1:51:31,38981,8460,8021,539.37,198.47,208.82,10/16/2017
10/16/2017 2:01:31,38988,8460,8033,539.38,198.47,208.83,10/16/2017
10/16/2017 2:11:31,38995,8460,8044,539.38,198.47,208.84,10/16/2017
10/16/2017 2:21:31,39002,8460,8056,539.39,198.47,208.86,10/16/2017
10/16/2017 2:31:30,39009,8460,8068,539.40,198.47,208.87,10/16/2017
